lemma	rank	occurrences
lejano	1079	250
anterior	1080	250
hueso	1081	250
ingles	1082	250
capitan	1083	249
treinta	1084	249
herido	1085	249
luchar	1086	249
cuadro	1087	249
precioso	1088	249
pasion	1089	249
continuo	1090	249
ingenio	1091	249
ladron	1092	248
ocupado	1093	248
celebrar	1094	248
consentir	1095	248
cuestion	1096	247
preferir	1097	247
pariente	1098	246
polvo	1099	246
salvaje	1100	246
viajar	1101	246
ola	1102	246
resolucion	1103	246
determinar	1104	246
presto	1105	246
invierno	1106	245
techo	1107	245
verano	1108	245
rodear	1109	245
destino	1110	245
esplendido	1111	245
examinar	1112	245
cargo	1113	245
estudiar	1114	244
soledad	1115	244
mente	1116	244
marcha	1117	243
titulo	1118	243
ilusion	1119	243
gobernador	1120	243
gallina	1121	243
doler	1122	242
gallo	1123	242
fatiga	1124	242
sacerdote	1125	242
simple	1126	241
oreja	1127	241
listo	1128	241
monton	1129	241
habeis	1130	241
experimentar	1131	241
guerrero	1132	241
quieto	1133	240
demonio	1134	240
nueve	1135	240
aposento	1136	240
acento	1137	240
fingir	1138	239
tendido	1139	239
reino	1140	239
sociedad	1141	239
pronunciar	1142	239
ajeno	1143	239
divino	1144	239
ciencia	1145	239
prisa	1146	238
desdichado	1147	238
lluvia	1148	237
sombrio	1149	237
beso	1150	237
inmenso	1151	237
estimar	1152	237
conocimiento	1153	236
paja	1154	236
conforme	1155	236
palo	1156	235
suspiro	1157	235
horrible	1158	235
boda	1159	235
assi	1160	235
cueva	1161	234
vaca	1162	234
inmovil	1163	234
diverso	1164	234
baronesa	1165	233
motivo	1166	232
preocupar	1167	232
amable	1168	232
fijar	1169	232
papa	1170	232
vencer	1171	232
camisa	1172	232
terror	1173	232
caber	1174	232
agujero	1175	231
torre	1176	231
lindo	1177	230
cola	1178	230
regalo	1179	230
inutil	1180	230
villa	1181	230
mala	1182	229
pecado	1183	229
cometer	1184	229
reunir	1185	229
vaso	1186	229
doloroso	1187	229
burla	1188	229
deslizar	1189	228
centro	1190	228
anciana	1191	228
terciopelo	1192	228
afirmar	1193	228
della	1194	228
tonteria	1195	227
roto	1196	227
acostumbrado	1197	227
prado	1198	227
algun	1199	227
temprano	1200	226
venta	1201	226
experiencia	1202	226
patria	1203	226
significar	1204	225
novio	1205	225
barca	1206	224
reloj	1207	223
perseguir	1208	223
herir	1209	223
suspirar	1210	223
dichoso	1211	223
borde	1212	222
